1	南钢	2015/06/02	05:56:46	外弧宽面Tv	稳态
2	南钢	2015/06/02	23:59:25	外弧宽面Tv	漏钢
3	南钢	2015/06/10	10:33:19	外弧宽面Tv	漏钢
4	南钢	2015/06/10	10:33:01	外弧宽面Tv	稳态
5	南钢	2015/06/10	10:33:06	外弧宽面Tv	稳态
6	南钢	2015/06/16	16:25:16	外弧宽面Tv	稳态
7	南钢	2015/06/16	16:25:19	内弧宽面Tv	稳态
8	南钢	2015/06/16	16:25:26	内弧宽面Tv	稳态
9	南钢	2015/06/16	16:25:44	外弧宽面Tv	漏钢
10	南钢	2015/06/18	05:52:54	内弧宽面Tv	稳态
11	南钢	2015/06/18	05:53:03	内弧宽面Tv	稳态
12	南钢	2015/06/18	05:53:11	内弧宽面Tv	稳态
13	南钢	2015/06/18	05:53:16	内弧宽面Tv	稳态
14	南钢	2015/06/18	05:53:16	外弧宽面Tv	稳态
15	南钢	2015/06/18	05:53:20	外弧宽面Tv	稳态
16	南钢	2015/06/18	05:55:26	内弧宽面Tv	稳态
17	南钢	2015/06/18	05:55:26	外弧宽面Tv	稳态
18	南钢	2015/06/18	05:55:30	外弧宽面Tv	误报
19	南钢	2015/06/18	05:55:35	外弧宽面Tv	稳态
20	南钢	2015/06/18	05:55:35	内弧宽面Tv	稳态
21	南钢	2015/06/18	05:55:42	外弧宽面Tv	稳态
22	南钢	2015/06/21	10:33:43	外弧宽面Tv	漏钢
23	南钢	2015/06/21	10:33:46	内弧宽面Tv	稳态
24	南钢	2015/06/21	10:33:51	内弧宽面Tv	稳态
25	南钢	2015/06/21	10:33:53	内弧宽面Tv	稳态
26	南钢	2015/07/07	13:36:55	外弧宽面Tv	稳态
27	南钢	2015/07/07	13:36:55	内弧宽面Tv	稳态
28	南钢	2015/07/07	13:37:00	外弧宽面Tv	稳态
29	南钢	2015/07/07	13:37:00	内弧宽面Tv	稳态
30	南钢	2015/07/07	13:37:05	外弧宽面Tv	稳态
31	南钢	2015/07/07	13:37:40	外弧宽面Tv	漏钢
32	南钢	2015/07/07	13:43:38	外弧宽面Tv	稳态
